final_score,niche_score,niche_tag,channel_name,handle,sub_count,topic_overlap,matching_topics,note,sample_title_1,sample_title_2,sample_title_3,channel_id
91.67,88,programming-education,Fireship,@Fireship,4190000,6,"neovim configuration, terminal tmux setup, python design patterns, local llm coding, spark data processing, software engineering career",Massive dev education channel with regular AI coding tool reviews and terminal content,I finally found a use case for OpenClaw…,Claude just got another superpower...,Millions of WordPress sites just got hacked... again,UCsBjURrPoezykLs9EqgamOA
84.87,95,dev-tools,ThePrimeagen,@ThePrimeagen,541000,4,"neovim configuration, terminal tmux setup, dotfiles git workflow, software engineering career","Terminal power-user and Neovim evangelist, audience lives in CLI daily",Musician turned Programmer turned Musician,I was wrong btw,the worst man in tech,UC8ENHE5xdFSwx71u3fDH5Xw
78.58,96,dev-tools,Josean Martinez,@joseanmartinez,66900,3,"neovim configuration, terminal tmux setup, dotfiles git workflow",Linux and Neovim setup tutorials with direct OpenCode AI integration coverage,My New Arch + Hyprland Setup For Software Development,54 Essential Linux Commands You Need To Know,Are You Using The Wrong Terminal Shell?,UC_NZ6qLS9oJgsMKQhqAkg-w
78.09,94,dev-tools,DevOps Toolbox,@devopstoolbox,116000,3,"neovim configuration, terminal tmux setup, local llm coding",DevOps CLI tooling and AI coding workflows with strong terminal focus,"Cute, but powerful: meet Pi, a tiny agent",CMUX: Too Much Hype?,This S3 Alternative is INSANELY Lightweight (and 100% open source),UCYeiozh-4QwuC1sjgCmB92w
71.2,88,dev-tools,typecraft,@typecraft_dev,227000,2,"neovim configuration, terminal tmux setup",Linux terminal power-user content with bash automation and setup guides,You NEED to start using test containers!,This little machine is a BEAST,You've been browsing files wrong,UCo71RUe6DX4w-Vd47rFLXPg
70.34,95,dev-tools,TJ DeVries,@teej_dv,114000,1,neovim configuration,Neovim core contributor with terminal-centric developer workflow content,My official application for McDonald's CEO,my origin story,my best balatro run (ft ThePrimeagen),UCd3dNckv1Za2coSaHGHl5aA
69.8,92,dev-tools,linkarzu,@linkarzu,12300,2,"terminal tmux setup, dotfiles git workflow",Neovim and terminal emulator deep-dives for CLI power users,Why Showing Images in the Terminal Is a Mess,"Kitty Can Do This Now? Drag and Drop, Pixel Scrolling, More",Stop Reopening the Same Projects Every Day,UCrSIvbFncPSlK6AdwE2QboA
68.69,85,ai-ml-dev,AI LABS,@AILABS-393,131000,2,"terminal tmux setup, ai code testing",Claude Code and Anthropic-specific content with terminal workflow coverage,This Is The Anthropic Team's Greatest Advice,8 Vibe Coded Apps That Generated Millions Overnight,I Didn't Expect It To Work This Well,UCelfWQr9sXVMTvBzviPGlFw
68.6,72,programming-education,Tech With Tim,@TechWithTim,2000000,3,"python clean architecture, open source llm testing, software engineering career",Python tutorial channel with growing local LLM and AI agent content,Local Models Got a HUGE Upgrade - Full Guide (Ollama/OpenClaw),Hermes Agent Full Tutorial for Beginners | Setup Guide,Build an AI Email Assistant with Code | Full AI Tutorial,UC4JX40jDee_tINbkjycV4Sg
65.46,75,tech-commentary,The PrimeTime,@ThePrimeTimeagen,1100000,2,"python dependency injection, local llm coding",Tech commentary and dev culture from ThePrimeagen's alt channel,RollerCoaster Tycoon Optimizations are Insane,We are near peak hype,The Mythos Situation | TheStandup,UCUyeluBRhGPCW4rPe_UvBZQ
65.33,70,programming-education,freeCodeCamp.org,@freecodecamp,11600000,2,"spark data processing, pyspark data engineering",Massive free programming education covering Gemini CLI and Codex courses,Gemini CLI Essentials – Full Course,Sliding Window Algorithm for Tech Interviews - Full Course,3D Web Development with Blender and Three.js – Create a Cozy Café Portfolio,UC8butISFwT-Wl7EV0hUK0BQ
64.8,85,dev-tools,Bread on Penguins,@BreadOnPenguins,162000,1,neovim configuration,Shell scripting and terminal tool advocacy for Linux users,ㅤ,why processing in pure shell is worth it,I moved to Wayland :D,UCwHwDuNd9lCdA7chyyquDXw
64.66,45,tech-commentary,IBM Technology,@IBMTechnology,1660000,6,"local llm coding, ai agent workflow, ai code testing, open source llm testing, spark data processing, data pipelines airflow",Enterprise tech content with some AI agent coverage but heavily corporate,Apple’s new CEO & how AI understands intent,5 Podman Features You Should Know: Kubernetes & Containers Simplified,Should you let OpenClaw pen test your system? Plus: Cybersecurity for ephemeral software,UCKWaEZ-_VweaEx1j62do_vQ
64.55,90,dev-tools,CodeOps HQ,@CodeOpsHQ,13400,1,neovim configuration,Linux desktop and terminal deep-dives with Vim and Tmux focus,Stop Using Your Mouse: Vim Motions & Macros Explained,My Neovim Setup for 2026: The Ultimate Deep Dive,Build a Minimalist Linux Desktop with SwayWM – Part 3: Rofi Configuration (Line by Line),UCbdSso-vnvKjI6E2h_hDLFA
64.44,70,programming-education,Programming with Mosh,@programmingwithmosh,5030000,2,"python design patterns, ai code testing",Massive programming tutorial channel covering Claude Code and AI development,Claude Code Tutorial - Build Apps 10x Faster with AI,New Course Dropping Soon...,Top 5 Programming Languages to Learn in 2026 (to Actually Get Hired),UCWv7vMbMWH4-V0ZXdmDpPBA
63.38,88,ai-ml-dev,ZazenCodes,@ZazenCodes,13700,1,python clean architecture,AI coding tool comparison and agent skills across all major platforms,"How to Share Skills Between Claude Code, Codex, Cursor & GitHub Copilot",Gemma 4 Local Guide: Ollama + llama.cpp on MacBook Pro M4,Stop using AGENTS.md and CLAUDE.md (do this instead),UC4wbCxRPSrkbp5BNsNczbIQ
63.3,82,dev-tools,Dreams of Code,@dreamsofcode,205000,1,terminal tmux setup,Terminal tooling and Rust development with direct OpenClaw and AI coding coverage,Rust on the web is starting to look quite good.,"I finally found a solution for my token costs, one that won't last forever...",The weirdest programming language I ever learned,UCWQaM7SpSECp9FELz-cHzuQ
63.01,88,dev-tools,Henry Misc,@henrymisc,10300,1,neovim configuration,Terminal workflow and Neovim ergonomics for CLI developers,"10,000 Subscribers… What's Next? (Channel Update)",Stop Suffering Through Long Shell Commands,I Switched to iPhone After 14 Years on Android – Here's Why,UCgvpt0jhxyfTS_6AQ-AJBIw
62.85,78,programming-education,Eric Roby,@codingwithroby,37400,2,"python clean architecture, python dependency injection",Backend Python tutorials with heavy Claude Code and AI coding tool integration,Every Backend Developer Roadmap Is LYING To You!,You're a REPLACEABLE Backend Developer (here's how to fix it),9 Claude Code Features MOST Devs Still Aren’t Using!,UCFxwS8HIGH5_ut1fk0PNAHw
62.56,72,web-dev,Syntax,@syntaxfm,472000,2,"local llm coding, ai code testing",Web development podcast covering AI coding tools and vibe coding trends,Has AI melted our brains? Dev Cardio Challenge!,How to Fix Vibe Coding,Rating and Roasting Your Projects,UCyU5wkjgQYGRB0hIHMwm2Sg
61.71,75,programming-education,Corey Schafer,@coreyms,1520000,1,dotfiles git workflow,Premier Python tutorial channel with production-grade backend content,Python FastAPI Tutorial (Part 19): Deploy with Docker - Serverless Containers and Custom Domain,"Python FastAPI Tutorial (Part 18): Deploy to a VPS - Security, Nginx, SSL, and Custom Domain","Python FastAPI Tutorial (Part 17): Testing the API - Pytest, Fixtures, and Mocking External Services",UCCezIgC97PvUuR4_gbFUs5g
61.25,75,programming-education,NeetCode,@NeetCode,1070000,1,python design patterns,Coding interview prep with strong AI coding tool commentary,Anthropic thinks you're an idiot,Claude Code's entire source code was leaked,"Building the Future of coding, OpenCode with Dax Raad",UC_mYaQAE6-71rjSN6CeCA-g
